Set,Instance,W,H,n,density,|E_d|,|I_in|,|I_out|,UB0-KP,UB0-LS,UB0,LB0,UB,LB,Gap0,Gap,Opt0,Opt,Nodes',Nodes,#OPP,#EOPP,Time-OPP,Time-EOPP,Time-UB0-KP,Time-UB0-LS,Time-LB0,Time-Red,Time
NGCUT,ngcut07_2,20,20,5,0.17,1,0,0,374,348,348,348,348,348,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCUT,ngcut07_3,20,20,5,0.25,2,0,0,374,370,370,370,370,370,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCUT,ngcut08_1,20,20,7,0.1,2,0,0,673,635,635,610,635,635,0.03937007874015748,0.0,0,1,0,0,0,0,0.0,0.0,0.001,0.0,0.0,0.0,0.003
NGCUT,ngcut08_2,20,20,7,0.17,3,0,0,673,610,610,610,610,610,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCUT,ngcut08_3,20,20,7,0.25,5,0,0,673,358,358,358,358,358,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCUT,ngcut09_1,20,20,10,0.1,4,0,0,867,851,851,804,804,804,0.055229142185663924,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.006
NGCUT,ngcut09_2,20,20,10,0.17,7,0,0,867,847,847,712,712,712,0.15938606847697756,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.001,0.0,0.0,0.008
NGCUT,ngcut09_3,20,20,10,0.25,11,0,0,867,726,726,681,681,681,0.06198347107438017,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.001,0.0,0.004
NGCUT,ngcut10_1,30,30,5,0.1,1,0,0,1063,763,763,763,763,763,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCUT,ngcut10_2,30,30,5,0.17,1,0,0,1063,998,998,998,998,998,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCUT,ngcut10_3,30,30,5,0.25,2,0,0,1063,763,763,763,763,763,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
