Class,id,W,H,n,|E_d|,|E_s|,|SR|,|E_d|',|E_s|',|SR|',|I_in|,|I_out|,UB0-KP,UB0-LS,UB0,LB0,UB,LB,Gap0,Gap,Opt0,Opt,Violate-Dif,Violate-Same,Value-Error,Nodes',Nodes,#OPP,#EOPP,Time-OPP,Time-EOPP,Time-UB0-KP,Time-UB0-LS,Time-LB0,Time-Red,Time
Class02,50,30,30,100,0,0,103,0,0,103,0,0,2046530226513,1256645054770,1256645054770,1241088600362,1256645054770,1241088600362,0.012379354336334258,0.012379354336334258,0,0,0,0,0,9793,9839,1,1,1796.656,1796.643,0.0,0.724,2.619,0.0,1800.0
Class03,1,40,40,20,0,0,0,0,0,0,0,0,1000000000000,1000000000000,1000000000000,900000000000,900000000000,900000000000,0.1,0.0,0,1,0,0,0,76,80,4,2,0.004,0.001,0.0,0.0,0.001,0.0,0.005
Class03,2,40,40,20,0,0,0,0,0,0,0,0,141379310341,134482758616,134482758616,106206896548,110344827581,110344827581,0.21025641025656278,0.0,0,1,0,0,0,5294,6114,977,184,0.19,0.073,0.0,0.0,0.001,0.0,0.192
Class03,3,40,40,20,0,0,0,0,0,0,0,0,150617283949,123456790121,123456790121,101234567899,107407407405,107407407405,0.180000000001782,0.0,0,1,0,0,0,1068,1184,190,0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
Class03,4,40,40,20,0,0,17,0,0,17,0,0,208643815196,177794336808,177794336808,154545454543,158569299550,158569299550,0.13076278290070878,0.0,0,1,0,0,0,22883,22971,482,7,0.011,0.003,0.0,0.001,0.009,0.0,0.022
Class03,5,40,40,20,0,0,0,0,0,0,0,0,1300000000000,1300000000000,1300000000000,1200000000000,1200000000000,1200000000000,0.07692307692307693,0.0,0,1,0,0,0,119,120,1,0,0.0,0.0,0.0,0.0,0.001,0.0,0.001
Class03,6,40,40,20,0,0,0,0,0,0,0,0,200000000000,175000000000,175000000000,125000000000,125000000000,125000000000,0.2857142857142857,0.0,0,1,0,0,0,102,113,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Class03,7,40,40,20,0,0,0,0,0,0,0,0,1400000000000,1400000000000,1400000000000,1300000000000,1300000000000,1300000000000,0.07142857142857142,0.0,0,1,0,0,0,47,48,1,1,0.012,0.006,0.0,0.0,0.0,0.0,0.012
Class03,8,40,40,20,0,0,0,0,0,0,0,0,1300000000000,1300000000000,1300000000000,1200000000000,1300000000000,1300000000000,0.07692307692307693,0.0,0,1,0,0,0,0,13,1,0,0.002,0.0,0.0,0.0,0.001,0.0,0.003
Class03,9,40,40,20,0,0,0,0,0,0,0,0,1000000000000,1000000000000,1000000000000,900000000000,900000000000,900000000000,0.1,0.0,0,1,0,0,0,164,170,6,3,0.006,0.002,0.0,0.0,0.0,0.0,0.006
Class03,10,40,40,20,0,0,0,0,0,0,0,0,1100000000000,1100000000000,1100000000000,1000000000000,1100000000000,1100000000000,0.09090909090909091,0.0,0,1,0,0,0,0,11,1,0,0.001,0.0,0.0,0.0,0.0,0.0,0.001
Class03,11,40,40,40,0,0,28,0,0,28,0,0,174015288052,144288976778,144288976778,137267328248,137267328248,137267328248,0.04866379044882522,0.0,0,1,0,0,0,289302,292236,3765,17,0.109,0.032,0.0,0.006,0.749,0.0,0.896
