type,instance,W,H,m,n,exploredNodes,generatedNodes,liftCnt,addCutCnt,infeasibleSetSize,checkCnt,opt,feasible,time
MSB-450,OPP_2D_15_2s_7I_2W,100,100,15,15,11123,11123,0,0,0,0,1,0,3.779
MSB-450,OPP_2D_15_2s_7I_30W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_7I_40W,100,100,15,15,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_15_2s_7I_4W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_7I_6W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_7I_8W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_8I_0W,100,100,15,15,72726,72726,0,0,0,0,1,0,44.819
MSB-450,OPP_2D_15_2s_8I_10W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_8I_20W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_8I_2W,100,100,15,15,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_15_2s_8I_30W,100,100,15,15,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_15_2s_8I_40W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_8I_4W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_8I_6W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_8I_8W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_9I_0W,100,100,15,15,20989,22322,0,0,0,0,1,1,6.095
MSB-450,OPP_2D_15_2s_9I_10W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_9I_20W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_9I_2W,100,100,15,15,0,0,0,0,0,0,1,1,0.003
MSB-450,OPP_2D_15_2s_9I_30W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_9I_40W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_9I_4W,100,100,15,15,10786,10786,0,0,0,0,1,0,7.218
MSB-450,OPP_2D_15_2s_9I_6W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_9I_8W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_20_2s_10I_0W,100,100,20,20,2471,2920,0,0,0,0,1,1,1.504
MSB-450,OPP_2D_20_2s_10I_10W,100,100,20,20,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_20_2s_10I_20W,100,100,20,20,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_20_2s_10I_2W,100,100,20,20,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_20_2s_10I_30W,100,100,20,20,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_20_2s_10I_40W,100,100,20,20,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_20_2s_10I_4W,100,100,20,20,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_20_2s_10I_6W,100,100,20,20,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_20_2s_10I_8W,100,100,20,20,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_20_2s_1I_0W,100,100,20,20,0,0,0,0,0,0,1,1,0.01
MSB-450,OPP_2D_20_2s_1I_10W,100,100,20,20,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_20_2s_1I_20W,100,100,20,20,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_20_2s_1I_2W,100,100,20,20,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_20_2s_1I_30W,100,100,20,20,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_20_2s_1I_40W,100,100,20,20,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_20_2s_1I_4W,100,100,20,20,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_20_2s_1I_6W,100,100,20,20,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_20_2s_1I_8W,100,100,20,20,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_20_2s_2I_0W,100,100,20,20,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_20_2s_2I_10W,100,100,20,20,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_20_2s_2I_20W,100,100,20,20,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_20_2s_2I_2W,100,100,20,20,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_20_2s_2I_30W,100,100,20,20,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_20_2s_2I_40W,100,100,20,20,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_20_2s_2I_4W,100,100,20,20,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_20_2s_2I_6W,100,100,20,20,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_20_2s_2I_8W,100,100,20,20,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_20_2s_3I_0W,100,100,20,20,2012,2202,0,0,0,0,1,1,1.328
MSB-450,OPP_2D_20_2s_3I_10W,100,100,20,20,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_20_2s_3I_20W,100,100,20,20,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_20_2s_3I_2W,100,100,20,20,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_20_2s_3I_30W,100,100,20,20,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_20_2s_3I_40W,100,100,20,20,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_20_2s_3I_4W,100,100,20,20,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_20_2s_3I_6W,100,100,20,20,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_20_2s_3I_8W,100,100,20,20,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_20_2s_4I_0W,100,100,20,20,0,0,0,0,0,0,1,1,0.003
MSB-450,OPP_2D_20_2s_4I_10W,100,100,20,20,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_20_2s_4I_20W,100,100,20,20,0,0,0,0,0,0,1,1,0.002
MSB-450,OPP_2D_20_2s_4I_2W,100,100,20,20,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_20_2s_4I_30W,100,100,20,20,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_20_2s_4I_40W,100,100,20,20,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_20_2s_4I_4W,100,100,20,20,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_20_2s_4I_6W,100,100,20,20,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_20_2s_4I_8W,100,100,20,20,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_20_2s_5I_0W,100,100,20,20,325,383,4,4,40,899,1,1,0.415
MSB-450,OPP_2D_20_2s_5I_10W,100,100,20,20,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_20_2s_5I_20W,100,100,20,20,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_20_2s_5I_2W,100,100,20,20,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_20_2s_5I_30W,100,100,20,20,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_20_2s_5I_40W,100,100,20,20,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_20_2s_5I_4W,100,100,20,20,0,0,0,0,0,0,1,1,0.0
